seed,ranking,selection,param,consolidation,strategy,majority_class,no_matches_test,acc_test,bacc_test,f1_test,mcc_test,erros_test,acc_test_maj,bacc_test_maj,f1_test_maj,mcc_test_maj,erros_test_maj,nclients
17,1,select_coverage,1.0,exact,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,1,select_coverage,2.0,DAC,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,1,select_coverage,2.0,exact,majority,1,0,0.8160919540229885,0.7948717948717949,0.7995391705069124,0.6650621717611762,16,,,,,,2
17,1,select_coverage,2.0,exact,cmar,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,1,select_coverage,2.0,exact,top_k_avg,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,1,select_coverage,2.0,exact,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,1,select_coverage,3.0,DAC,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,1,select_coverage,3.0,exact,majority,1,0,0.8275862068965517,0.8076923076923077,0.8133848133848134,0.6847367880174606,15,,,,,,2
17,1,select_coverage,3.0,exact,cmar,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,1,select_coverage,3.0,exact,top_k_avg,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,1,select_coverage,3.0,exact,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,1,select_coverage,4.0,DAC,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,1,select_coverage,4.0,exact,majority,1,0,0.8160919540229885,0.7948717948717949,0.7995391705069124,0.6650621717611762,16,,,,,,2
17,1,select_coverage,4.0,exact,cmar,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,1,select_coverage,4.0,exact,top_k_avg,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,1,select_coverage,4.0,exact,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,1,select_coverage_CBA_M1,,DAC,list,1,48,1.0,1.0,1.0,1.0,0,0.4482758620689655,0.5,0.3095238095238095,0.0,48.0,2
17,1,select_coverage_CBA_M1,,exact,majority,1,48,1.0,1.0,1.0,1.0,0,0.4482758620689655,0.5,0.3095238095238095,0.0,48.0,2
17,1,select_coverage_CBA_M1,,exact,cmar,1,48,1.0,1.0,1.0,1.0,0,0.4482758620689655,0.5,0.3095238095238095,0.0,48.0,2
17,1,select_coverage_CBA_M1,,exact,top_k_avg,1,48,1.0,1.0,1.0,1.0,0,0.4482758620689655,0.5,0.3095238095238095,0.0,48.0,2
17,1,select_coverage_CBA_M1,,exact,list,1,48,1.0,1.0,1.0,1.0,0,0.4482758620689655,0.5,0.3095238095238095,0.0,48.0,2
17,2,select_coverage,1.0,exact,majority,1,0,0.9655172413793104,0.9615384615384616,0.9648484848484848,0.9320827648567408,3,,,,,,2
17,2,select_coverage,1.0,exact,cmar,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,2,select_coverage,1.0,exact,top_k_avg,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,2,select_coverage,1.0,exact,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,2,select_coverage,2.0,exact,majority,1,0,0.8160919540229885,0.7948717948717949,0.7995391705069124,0.6650621717611762,16,,,,,,2
17,2,select_coverage,2.0,exact,cmar,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,2,select_coverage,2.0,exact,top_k_avg,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,2,select_coverage,2.0,exact,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,2,select_coverage,3.0,exact,majority,1,0,0.8275862068965517,0.8076923076923077,0.8133848133848134,0.6847367880174606,15,,,,,,2
17,2,select_coverage,3.0,exact,cmar,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,2,select_coverage,3.0,exact,top_k_avg,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,2,select_coverage,3.0,exact,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,2,select_coverage,4.0,exact,majority,1,0,0.8160919540229885,0.7948717948717949,0.7995391705069124,0.6650621717611762,16,,,,,,2
17,2,select_coverage,4.0,exact,cmar,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,2,select_coverage,4.0,exact,top_k_avg,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,2,select_coverage,4.0,exact,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,2,select_coverage_CBA_M1,,exact,majority,1,48,1.0,1.0,1.0,1.0,0,0.4482758620689655,0.5,0.3095238095238095,0.0,48.0,2
17,2,select_coverage_CBA_M1,,exact,cmar,1,48,1.0,1.0,1.0,1.0,0,0.4482758620689655,0.5,0.3095238095238095,0.0,48.0,2
17,2,select_coverage_CBA_M1,,exact,top_k_avg,1,48,1.0,1.0,1.0,1.0,0,0.4482758620689655,0.5,0.3095238095238095,0.0,48.0,2
17,2,select_coverage_CBA_M1,,exact,list,1,48,1.0,1.0,1.0,1.0,0,0.4482758620689655,0.5,0.3095238095238095,0.0,48.0,2
19,1,select_coverage,1.0,DAC,list,0,0,1.0,1.0,1.0,1.0,0,,,,,,2
19,1,select_coverage,1.0,exact,majority,0,2,1.0,1.0,1.0,1.0,0,,,,,,2
19,1,select_coverage,1.0,exact,cmar,0,2,1.0,1.0,1.0,1.0,0,,,,,,2
19,1,select_coverage,1.0,exact,top_k_avg,0,2,1.0,1.0,1.0,1.0,0,,,,,,2
19,1,select_coverage,1.0,exact,list,0,2,1.0,1.0,1.0,1.0,0,,,,,,2
19,1,select_coverage,2.0,DAC,list,0,0,1.0,1.0,1.0,1.0,0,,,,,,2
