ranking,selection,param,strategy,acc_train,bacc_train,f1_train,mcc_train,erros_train,acc_test,bacc_test,f1_test,mcc_test,erros_test,seed
2,select_coverage,3.0,majority,0.8267924877416968,0.735004042848122,0.7299349154379201,0.6495464811719529,9361,0.7753108348134992,0.6436229278107114,0.6445238051552273,0.5437357385477994,3036,14
2,select_coverage,3.0,cmar,0.8286242945693404,0.7313854257787522,0.730660663302865,0.6512925758010308,9262,0.778789224393132,0.6411358696384685,0.6446828856920547,0.5483013681175208,2989,14
2,select_coverage,3.0,top_k_avg,0.833805162364696,0.7276233599102545,0.731926987625454,0.6597354334563582,8982,0.7840438129070456,0.6319937916016237,0.6425226607930689,0.5516572058874212,2918,14
2,select_coverage,3.0,list,0.8338976778610417,0.7279880305519524,0.732222679457328,0.659951101691665,8977,0.7842658377738306,0.6330038715890821,0.6430969179423984,0.5526363336539022,2915,14
2,select_coverage,4.0,majority,0.8244981034323249,0.7336877682982399,0.7267423505520917,0.6460233273869538,9485,0.7748667850799289,0.6465258346938981,0.6457669966765911,0.5446273765987875,3042,14
2,select_coverage,4.0,cmar,0.826255897862892,0.7300784295777643,0.727343625466776,0.6476016494451226,9390,0.7776791000592066,0.6424303144810969,0.644596320004714,0.5476311873254626,3004,14
2,select_coverage,4.0,top_k_avg,0.8316958090480155,0.7261102198593069,0.7287135476709992,0.6562934128683616,9096,0.7835997631734755,0.6333854387343304,0.6429750759437239,0.5517658191200153,2924,14
2,select_coverage,4.0,list,0.8317883245443611,0.7264748905010047,0.7290078279629544,0.6565086447030579,9091,0.7838217880402605,0.6343955187217888,0.6435480029739066,0.5527541910376916,2921,14
2,select_coverage_CBA_M1,,majority,0.802183365713757,0.5419333758885753,0.550814882488514,0.5711206696541629,10691,0.7776050917702783,0.5153407851478495,0.5134964599447167,0.5042881746485895,3005,14
2,select_coverage_CBA_M1,,cmar,0.8005550929780738,0.5411640444541863,0.5495706867323814,0.5664735642811346,10779,0.7766429840142096,0.51594489201513,0.5131413903908482,0.5017300171104523,3018,14
2,select_coverage_CBA_M1,,top_k_avg,0.8031085206772134,0.5423065276158084,0.5513502658087007,0.573781864124745,10641,0.7788632326820604,0.5139648977204259,0.5132775739906282,0.5079346936948945,2988,14
2,select_coverage_CBA_M1,,list,0.8031270237764826,0.5424114411304201,0.5515956779588068,0.5738348110280023,10640,0.7791592658377738,0.5150123762642999,0.513986941309497,0.5085931155723978,2984,14
1,select_coverage,1.0,majority,0.8351743917106115,0.7383011227974755,0.7411505329347955,0.6640197712778906,8908,0.7782711663706335,0.6353651303046428,0.6384924214379273,0.5406425691542797,2996,17
1,select_coverage,1.0,cmar,0.835692478490147,0.7358615181988086,0.741792717214801,0.6637928364067651,8880,0.7793072824156305,0.6307984294329626,0.636430344294436,0.540556541068167,2982,17
1,select_coverage,1.0,top_k_avg,0.8421500601350727,0.7339841761283052,0.7451752104386236,0.6752283947990447,8531,0.7874481941977501,0.6190352154599658,0.632883213332892,0.5490603091159623,2872,17
1,select_coverage,1.0,list,0.842335091127764,0.734661052966396,0.7457496708660273,0.6756542482028479,8521,0.7875222024866785,0.6193073243035032,0.6331522209767845,0.5492347718537999,2871,17
1,select_coverage,2.0,majority,0.8294939402349893,0.7352134060936418,0.7334256606043345,0.6547096441217205,9215,0.7742747187685021,0.6383392003014935,0.6366764038139742,0.5379671041725202,3050,17
1,select_coverage,2.0,cmar,0.8309371819779813,0.7318139283104586,0.7339986170776062,0.6558385108866197,9137,0.7773090586145648,0.6319305407647919,0.6346484634627804,0.5400221067827603,3009,17
1,select_coverage,2.0,top_k_avg,0.836839670644833,0.7286224613759495,0.736127527410249,0.6657432002615868,8818,0.7848579040852576,0.621084430365029,0.6316818116129604,0.5472507488435207,2907,17
1,select_coverage,2.0,list,0.8370432047367934,0.7293631462793796,0.7367533548297548,0.6662083828041374,8807,0.7850059206631143,0.6216286480521038,0.6322035816022287,0.5475963618520839,2905,17
1,select_coverage,3.0,majority,0.825367749097974,0.7334436132995377,0.7283078113166698,0.6482318172791137,9438,0.7730905861456483,0.6407755539191756,0.6365247465501866,0.5388211939810573,3066,17
1,select_coverage,3.0,cmar,0.8276251272088074,0.729766574511591,0.7292337408253605,0.6505642097553965,9316,0.7761989342806395,0.634937630571967,0.6350387466561699,0.5409446942384105,3024,17
1,select_coverage,3.0,top_k_avg,0.8336016282727357,0.7256729877567141,0.7308465315181528,0.6602152624078343,8993,0.7845618709295441,0.6241327191336054,0.6328789575810779,0.5488733336688976,2911,17
1,select_coverage,3.0,list,0.833805162364696,0.7264136726601443,0.7314689404169603,0.6606787961460128,8982,0.7847098875074008,0.6246769368206802,0.6333924439651185,0.5492166693683285,2909,17
